Lap Nr,Roi1,Roi1_x,Roi1_y,Roi1_w,Roi1_h
1480,,284,25,134,44
1481,,284,26,134,43
1482,,285,26,133,43
1483,,285,26,133,43
1484,,285,26,133,43
1485,,285,26,133,43
1486,,284,26,134,43
1487,,283,25,135,44
1488,,180,25,101,44
1489,,283,23,135,44
1490,,180,23,101,43
1491,,76,23,102,42
1492,,179,12,102,49
1493,,177,0,206,59
1494,,37,0,350,55
1495,,37,0,381,53
1496,,37,0,351,49
1497,,0,0,389,45
1498,,37,0,381,41
1499,,171,0,247,35
1500,,0,0,418,40
1501,,0,0,418,40
1502,,0,0,418,40
1503,,0,17,418,23
1504,,0,17,418,23
1505,,0,15,418,25
1506,,0,16,418,24
1507,,0,16,418,24
1508,,0,16,418,24
1509,,0,17,418,23
1510,,0,17,418,23
1511,,0,17,418,23
1512,,0,16,418,25
1513,,0,17,418,24
1514,,0,17,418,24
1515,,0,16,418,25
1516,,0,17,418,24
1517,,0,17,418,24
1518,,0,17,418,23
1519,,0,17,418,23
1520,,0,17,418,24
1521,,0,17,418,24
1522,,0,17,418,24
1523,,0,17,418,23
1524,,0,17,418,23
1525,,0,17,418,23
1526,,0,17,418,23
1527,,0,17,418,23
1528,,0,17,418,23
1529,,0,16,418,24
1530,,0,16,418,24
1531,,0,16,418,24
1532,,0,17,418,24
1533,,0,17,418,23
1534,,0,17,418,23
1535,,0,16,418,24
1536,,0,16,418,24
1537,,0,16,418,24
1538,,0,16,418,24
1539,,0,16,418,24
1540,,0,16,418,24
1541,,0,16,418,24
1542,,0,17,418,23
1543,,0,17,418,23
1544,,0,17,418,23
1545,,0,16,418,24
1546,,0,16,418,24
1547,,0,16,418,24
1548,,0,17,418,23
1549,,0,17,418,23
1550,,0,17,418,23
1551,,0,17,418,23
1552,,0,17,418,23
1553,,0,17,418,23
1554,,0,17,418,23
1555,,0,17,418,23
1556,,0,17,418,23
1557,,0,16,418,24
1558,,0,16,418,24
1559,,0,16,418,24
1560,,0,16,418,24
1561,,0,16,418,24
1562,,0,0,418,69
1563,,0,17,418,23
1564,,0,17,418,23
1565,,0,0,418,40
1566,,0,0,418,40
1567,,0,0,418,40
1568,,169,0,249,37
1569,,37,0,352,43
1570,,37,0,381,47
1571,,37,0,381,51
1572,,38,0,380,55
1573,,38,0,349,57
1574,,179,12,102,49
1575,,181,19,100,44
1576,,181,22,100,43
1577,,181,24,100,43
1578,,181,25,100,44
1579,,181,27,100,42
1580,,284,27,100,42
1581,,284,26,134,43
1582,,284,26,134,43
1583,,285,26,133,43
1584,,285,26,133,43
1585,,284,26,134,43
1586,,283,28,100,41
1587,,181,27,100,42
1588,,283,25,135,42
1589,,283,23,100,44
1590,,283,21,99,43
1591,,179,21,102,42
1592,,179,17,102,44
1593,,179,0,204,59
1594,,74,0,311,58
1595,,37,0,350,55
1596,,37,0,381,53
1597,,37,0,381,49
1598,,37,0,381,45
1599,,0,0,418,40
1600,,0,0,418,40
1601,,0,0,418,40
1602,,0,0,418,40
1603,,0,17,418,23
1604,,0,17,418,23
1605,,0,16,418,25
1606,,0,16,418,24
1607,,0,17,418,23
